[2020-04-20 23:33:18,375 line 38] all the categories inserted in category successfully
[2020-04-20 23:41:00,070 line 69] Scrapping in: Belize/Books/free
[2020-04-20 23:41:01,421 line 245] Dev exist already
[2020-04-20 23:41:01,421 line 246] Dev info ok
[2020-04-20 23:41:01,428 line 86] No current rating
[2020-04-20 23:41:01,434 line 151] 552994798: Data from main tab ok
[2020-04-20 23:41:01,547 line 192] Top rankings ok
[2020-04-20 23:41:02,476 line 275] Twitter information inserted in database for 552994798
[2020-04-20 23:41:02,878 line 171] 552994798-Books:29 inserted in app_category table successfully
[2020-04-20 23:41:02,901 line 221] No ranking in top_countries
[2020-04-20 23:41:02,925 line 221] No ranking in world
[2020-04-20 23:41:02,925 line 174] 552994798: row inserted in app_country_rank table 

[2020-04-20 23:41:02,925 line 69] Scrapping in: Belize/Books/free
[2020-04-20 23:41:04,111 line 245] Dev exist already
[2020-04-20 23:41:04,111 line 246] Dev info ok
[2020-04-20 23:41:04,124 line 151] 383552199: Data from main tab ok
[2020-04-20 23:41:04,240 line 192] Top rankings ok
[2020-04-20 23:41:05,211 line 275] Twitter information inserted in database for 383552199
[2020-04-20 23:41:05,680 line 171] 383552199-Social Networking:4 inserted in app_category table successfully
[2020-04-20 23:41:05,685 line 171] 383552199-Books:29 inserted in app_category table successfully
[2020-04-20 23:41:05,719 line 221] No ranking in top_countries
[2020-04-20 23:41:05,753 line 221] No ranking in world
[2020-04-20 23:41:05,753 line 174] 383552199: row inserted in app_country_rank table 

[2020-04-20 23:41:05,753 line 69] Scrapping in: Belize/Books/free
[2020-04-20 23:41:06,900 line 245] Dev exist already
[2020-04-20 23:41:06,901 line 246] Dev info ok
[2020-04-20 23:41:06,912 line 151] 977658272: Data from main tab ok
[2020-04-20 23:41:07,043 line 192] Top rankings ok
[2020-04-20 23:41:08,207 line 275] Twitter information inserted in database for 977658272
[2020-04-20 23:41:08,578 line 171] 977658272-Education:27 inserted in app_category table successfully
[2020-04-20 23:41:08,582 line 171] 977658272-Books:29 inserted in app_category table successfully
[2020-04-20 23:41:08,609 line 221] No ranking in top_countries
[2020-04-20 23:41:08,633 line 221] No ranking in world
[2020-04-20 23:41:08,634 line 174] 977658272: row inserted in app_country_rank table 

[2020-04-20 23:41:08,634 line 69] Scrapping in: Belize/Books/free
[2020-04-20 23:41:09,718 line 245] Dev exist already
[2020-04-20 23:41:09,719 line 246] Dev info ok
[2020-04-20 23:41:09,734 line 151] 924829821: Data from main tab ok
[2020-04-20 23:41:09,879 line 192] Top rankings ok
[2020-04-20 23:41:10,739 line 275] Twitter information inserted in database for 924829821
[2020-04-20 23:41:11,151 line 171] 924829821-Reference:1 inserted in app_category table successfully
[2020-04-20 23:41:11,156 line 171] 924829821-Books:29 inserted in app_category table successfully
[2020-04-20 23:41:11,179 line 221] No ranking in top_countries
[2020-04-20 23:41:11,202 line 221] No ranking in world
[2020-04-20 23:41:11,202 line 174] 924829821: row inserted in app_country_rank table 

[2020-04-20 23:41:11,203 line 69] Scrapping in: Belize/Books/free
[2020-04-20 23:41:12,221 line 245] Dev exist already
[2020-04-20 23:41:12,221 line 246] Dev info ok
[2020-04-20 23:41:12,234 line 151] 544520956: Data from main tab ok
[2020-04-20 23:41:12,340 line 192] Top rankings ok
[2020-04-20 23:41:13,762 line 275] Twitter information inserted in database for 544520956
[2020-04-20 23:41:14,166 line 171] 544520956-Lifestyle:24 inserted in app_category table successfully
[2020-04-20 23:41:14,169 line 171] 544520956-Books:29 inserted in app_category table successfully
[2020-04-20 23:41:14,192 line 221] No ranking in top_countries
[2020-04-20 23:41:14,215 line 221] No ranking in world
[2020-04-20 23:41:14,216 line 174] 544520956: row inserted in app_country_rank table 

[2020-04-20 23:41:14,216 line 69] Scrapping in: Belize/Books/free
[2020-04-20 23:41:15,121 line 245] Dev exist already
[2020-04-20 23:41:15,121 line 246] Dev info ok
[2020-04-20 23:41:15,131 line 151] 404497673: Data from main tab ok
[2020-04-20 23:41:15,241 line 192] Top rankings ok
[2020-04-20 23:41:16,735 line 275] Twitter information inserted in database for 404497673
[2020-04-20 23:41:17,100 line 171] 404497673-Reference:1 inserted in app_category table successfully
[2020-04-20 23:41:17,103 line 171] 404497673-Books:29 inserted in app_category table successfully
[2020-04-20 23:41:17,126 line 221] No ranking in top_countries
[2020-04-20 23:41:17,149 line 221] No ranking in world
[2020-04-20 23:41:17,149 line 174] 404497673: row inserted in app_country_rank table 

[2020-04-20 23:41:17,149 line 69] Scrapping in: Belize/Books/free
[2020-04-20 23:41:18,200 line 245] Dev exist already
[2020-04-20 23:41:18,200 line 246] Dev info ok
[2020-04-20 23:41:18,210 line 151] 1129952850: Data from main tab ok
[2020-04-20 23:41:18,328 line 192] Top rankings ok
[2020-04-20 23:41:19,319 line 275] Twitter information inserted in database for 1129952850
[2020-04-20 23:41:19,691 line 171] 1129952850-Reference:1 inserted in app_category table successfully
[2020-04-20 23:41:19,694 line 171] 1129952850-Books:29 inserted in app_category table successfully
[2020-04-20 23:41:19,717 line 221] No ranking in top_countries
